ccode,iso,year,govvote,oppvote,frac,partycount,right,left,extr,protests,protestsdev,demosdev,riotsdev,strikesdev,rgdp,gdppeak,crisisJST,pk_fin,pk_norm,pk_dis,cpi,govcris,turnover,vetopl,dict,election,election_year
1,AUS,1870,,,,,,,,,,,,,13.6702,0,0,0,0,0,,,,,0,,
1,AUS,1871,,,,,,,,,,,,,13.7697,0,0,0,0,0,,,,,0,,
1,AUS,1872,,,,,,,,,,,,,14.8638,0,0,0,0,0,,,,,0,,
1,AUS,1873,,,,,,,,,,,,,16.0249,0,0,0,0,0,,,,,0,,
1,AUS,1874,,,,,,,,,,,,,16.0731,0,0,0,0,0,,,,,0,,
1,AUS,1875,,,,,,,,,,,,,17.3811,1,0,0,1,0,,,,,0,,
1,AUS,1876,,,,,,,,,,,,,16.8149,0,0,0,0,0,,,,,0,,
1,AUS,1877,,,,,,,,,,,,,16.94,0,0,0,0,0,,,,,0,,
1,AUS,1878,,,,,,,,,,,,,17.9869,1,0,0,1,0,,,,,0,,
1,AUS,1879,,,,,,,,,,,,,17.6727,0,0,0,0,0,,,,,0,,
1,AUS,1880,,,,,,,,,,,,,18.0218,0,0,0,0,0,,,,,0,,
1,AUS,1881,,,,,,,,,,,,,18.7577,1,0,0,1,1,,,,,0,,
1,AUS,1882,,,,,,,,,,,,,17.0487,0,0,0,0,0,,,,,0,,
1,AUS,1883,,,,,,,,,,,,,18.8535,1,0,0,1,1,,,,,0,,
1,AUS,1884,,,,,,,,,,,,,18.098,0,0,0,0,0,,,,,0,,
1,AUS,1885,,,,,,,,,,,,,18.6154,1,0,0,1,0,,,,,0,,
1,AUS,1886,,,,,,,,,,,,,18.2112,0,0,0,0,0,,,,,0,,
1,AUS,1887,,,,,,,,,,,,,19.5265,1,0,0,1,0,,,,,0,,
1,AUS,1888,,,,,,,,,,,,,18.9684,0,0,0,0,0,,,,,0,,
1,AUS,1889,,,,,,,,,,,,,20.0237,1,0,0,1,1,,,,,0,,
1,AUS,1890,,,,,,,,,,,,,18.7695,0,0,0,0,0,,,,,0,,
1,AUS,1891,,,,,,,,,,,,,19.6738,1,0,1,0,0,,,,,0,,
1,AUS,1892,,,,,,,,,,,,,16.7757,0,0,0,0,0,,,,,0,,
1,AUS,1893,,,,,,,,,,,,,15.5462,0,1,0,0,0,,,,,0,,
1,AUS,1894,,,,,,,,,,,,,15.7924,1,0,1,0,0,,,,,0,,
1,AUS,1895,,,,,,,,,,,,,14.6031,0,0,0,0,0,,,,,0,,
1,AUS,1896,,,,,,,,,,,,,15.4458,1,0,0,1,1,,,,,0,,
1,AUS,1897,,,,,,,,,,,,,14.3153,0,0,0,0,0,,,,,0,,
1,AUS,1898,,,,,,,,,,,,,16.3189,1,0,0,1,0,,,,,0,,
1,AUS,1899,,,,,,,,,,,,,16.0994,0,0,0,0,0,,,,,0,,
1,AUS,1900,,,,,,,,,,,,,16.8378,1,0,0,1,0,,,,,0,,
1,AUS,1901,44.400002,55.599998,0.65742218,4,,,,,,,,,16.09456062,0,0,0,0,0,2.458333015,,0,,0,1,1901
1,AUS,1902,44.400002,55.599998,0.65742218,4,,,,,,,,,16.02592087,0,0,0,0,0,2.625,,0,,0,0,1901
1,AUS,1903,31,64.600014,0.6744889,4,,,,,,,,,17.10195923,0,0,0,0,0,2.666666985,,0,,0,1,1903
1,AUS,1904,31,64.600014,0.6744889,4,,,,,,,,,18.03043938,1,0,0,1,0,2.541666985,,0,,0,0,1903
1,AUS,1905,31,64.600014,0.6744889,4,,,,,,,,,17.97607994,0,0,0,0,0,2.541666985,,0,,0,0,1903
1,AUS,1906,36.599998,61.700001,0.70115548,4,,,,,,,,,18.93610954,0,0,0,0,0,2.583333015,,0,,0,1,1906
1,AUS,1907,36.599998,61.700001,0.70115548,5,,,,,,,,,19.40154076,0,0,0,0,0,2.583333015,,0,,0,0,1906
1,AUS,1908,36.599998,61.700001,0.70115548,5,,,,,,,,,19.72929955,0,0,0,0,0,2.666666985,,0,,0,0,1906
1,AUS,1909,36.599998,61.700001,0.70115548,5,,,,,,,,,20.9611702,0,0,0,0,0,2.708333015,,0,,0,0,1906
1,AUS,1910,50,49.599998,0.50026667,5,,,,,,,,,21.94778061,1,0,0,1,0,2.75,,0,,0,1,1910
1,AUS,1911,50,49.599998,0.50026667,3,,,,,,,,,21.48825073,0,0,0,0,0,2.958333015,,0,,0,0,1910
1,AUS,1912,50,49.599998,0.50026667,3,,,,,,,,,21.46512985,0,0,0,0,0,3.208333015,,0,,0,0,1910
1,AUS,1913,48.900002,48.5,0.4999111,3,,,,,,,,,21.71916008,1,0,0,1,0,3.166666985,,0,,0,1,1913
1,AUS,1914,50.900002,49.099998,0.50417781,2,,,,,,,,,21.15867996,0,0,0,0,0,3.333333015,,0,,0,1,1914
1,AUS,1915,50.900002,49.099998,0.50417781,3,,,,,,,,,20.60659981,0,0,0,0,0,3.708333015,,0,,0,0,1914
1,AUS,1916,50.900002,49.099998,0.50417781,3,,,,,,,,,20.52985001,0,0,0,0,0,3.791666985,,0,,0,0,1914
1,AUS,1917,54.200001,43.900002,0.41457781,3,,,,,,,,,20.16327095,0,0,0,0,0,4.041666985,,0,,0,1,1917
1,AUS,1918,54.200001,43.900002,0.41457781,2,,,,,,,,,19.35230064,0,0,0,0,0,4.333333015,,0,,0,0,1917
1,AUS,1919,45.099998,52.700001,0.62933338,2,0,0,0,0,-0.037943687,0.000950418,-0.013873096,-0.025021009,19.84720039,0,0,0,0,0,4.875,0,0,,0,1,1919
1,AUS,1920,45.099998,52.700001,0.62933338,4,0,0,0,0,0.04242055,0.000139526,0.033488111,0.008792914,20.06435013,0,0,0,0,0,4.958333015,0,0,,0,0,1919
1,AUS,1921,45.099998,52.700001,0.62933338,4,0,0,0,0,0.128855777,-0.000823434,0.083069013,0.046610199,20.68759918,0,0,0,0,0,4.5,0,0,,0,0,1919
1,AUS,1922,47.799999,51.599998,0.68871188,4,0,0,0,0,0.220645697,-0.002112852,0.131731208,0.09102734,21.34489059,0,0,0,0,0,4.416666985,0,0,,0,1,1922
1,AUS,1923,47.799999,51.599998,0.68871188,5,0,0,0,1,0.296457086,-0.003771369,0.163045252,0.137183202,21.89782906,0,0,0,0,0,4.416666985,0,0,,0,0,1922
1,AUS,1924,47.799999,51.599998,0.68871188,5,0,0,0,1,0.29965341,-0.005503571,0.139504708,0.165652274,22.86881065,0,0,0,0,0,4.458333015,0,0,,0,0,1922
1,AUS,1925,53.200001,46.700001,0.62915522,5,0,0,0,0,0.237068551,-0.006410625,0.108419445,0.135059731,23.45368958,0,0,0,0,0,4.5,0,0,,0,1,1925
1,AUS,1926,53.200001,46.700001,0.62915522,4,0,0,0,0,0.178495395,-0.004713126,0.094778584,0.088429937,23.5376091,1,0,0,1,1,4.5,0,0,,0,0,1925
1,AUS,1927,53.200001,46.700001,0.62915522,4,0,0,0,0,0.155795858,0.002394032,0.106224129,0.047177697,23.41362,0,0,0,0,0,4.583333015,0,0,,0,0,1925
1,AUS,1928,49.599998,50.5,0.64750701,4,0,0,0,0,0.172272594,0.018470054,0.135233515,0.018569025,23.01770973,0,0,0,0,0,4.625,0,0,,0,1,1928
1,AUS,1929,48.799999,51.200001,0.56440443,5,0,0,0,1,0.20630092,0.0466911,0.157288314,0.002321505,22.20895004,0,0,0,0,0,4.625,0,0,,0,1,1929
1,AUS,1930,48.799999,51.200001,0.56440443,4,0,0,0,0,0.208692536,0.087278121,0.126232737,-0.004818322,19.84159088,0,0,0,0,0,4.25,1,0,,0,0,1929
1,AUS,1931,36.400002,63.299999,0.70740998,6,0,0.30000001,0.30000001,0,0.208154548,0.132981493,0.081648412,-0.006475357,18.33345032,0,0,0,0,0,4.083333015,1,0,,0,1,1931
1,AUS,1932,36.400002,63.299999,0.70740998,5,0,0.30000001,0.30000001,1,0.200003252,0.162587093,0.042919731,-0.005503571,19.22549057,0,0,0,0,0,3.916666985,0,0,,0,0,1931
1,AUS,1933,36.400002,63.299999,0.70740998,5,0,0.30000001,0.30000001,0,0.146250219,0.133603757,0.016367338,-0.003720876,20.40859032,0,0,0,0,0,3.916666985,0,0,,0,0,1931
1,AUS,1934,42.299999,51.400002,0.76728892,5,0,1.3,1.3,0,0.087810047,0.088429937,0.001444723,-0.002064613,21.3321209,0,0,0,0,0,3.916666985,0,0,,0,1,1934
1,AUS,1935,42.299999,51.400002,0.76728892,4,0,1.3,1.3,0,0.042197301,0.048087484,-0.005013401,-0.000876782,22.42679977,0,0,0,0,0,3.958333015,0,0,,0,0,1934
1,AUS,1936,42.299999,51.400002,0.76728892,4,0,1.3,1.3,0,0.012876937,0.019449458,-0.006403475,-0.000169047,23.26930046,0,0,0,0,0,4.083333015,0,0,,0,0,1934
1,AUS,1937,45.18,52.110001,0.68337768,3,0,0.5,0.5,0,-0.003437658,0.001694923,-0.005319796,0.000187215,24.24703979,0,0,0,0,0,4.166666985,0,0,,0,1,1937
1,AUS,1938,45.18,52.110001,0.68337768,3,0,0.5,0.5,0,-0.012093404,-0.009108972,-0.003332107,0.000347675,24.84617043,1,0,0,1,0,4.25,0,0,,0,0,1937
1,AUS,1939,45.18,52.110001,0.68337768,3,0,0.5,0.5,0,-0.017887199,-0.017166265,-0.001158981,0.000438047,24.67243004,0,0,0,0,0,4.375,0,0,,0,0,1937
1,AUS,1940,41.299999,56.099998,0.7008,3,0,0,0,,,,,,26.0392704,0,0,0,0,0,4.625,,0,,0,1,1940
1,AUS,1941,41.299999,56.099998,0.7008,4,0,0,0,,,,,,28.69207001,0,0,0,0,0,4.875,,0,,0,0,1940
1,AUS,1942,41.299999,56.099998,0.7008,4,0,0,0,,,,,,31.75000954,0,0,0,0,0,5.166666985,,0,,0,0,1940
1,AUS,1943,49.900002,44.099998,0.53404438,5,0,0,0,,,,,,32.59231949,1,0,0,1,0,5.208333015,,0,,0,1,1943
1,AUS,1944,49.900002,44.099998,0.53404438,4,0,0,0,,,,,,31.13574982,0,0,0,0,0,5.25,,0,,0,0,1943
1,AUS,1945,49.900002,44.099998,0.53404438,4,0,0,0,,,,,,29.23258972,0,0,0,0,0,5.375,,0,,0,0,1943
1,AUS,1946,49.700001,47.599998,0.6040889,4,0,0,0,0,0.124322806,-2.33922E-05,0.133890206,0.00142747,27.85622978,0,0,0,0,0,5.5,0,0,,0,1,1946
1,AUS,1947,49.700001,47.599998,0.6040889,5,0,0,0,0,0.287605525,-3.32883E-05,0.229761275,0.092692883,28.15373039,0,0,0,0,0,5.916666985,0,0,,0,0,1946
1,AUS,1948,49.700001,47.599998,0.6040889,5,0,0,0,1,0.430996596,-3.94416E-05,0.304209911,0.183729901,29.45714951,0,0,0,0,0,6.416666985,0,0,,0,0,1946
1,AUS,1949,50.099998,49.900002,0.62383503,5,0,0,0,2,0.488587485,-3.27833E-05,0.299051878,0.259479266,30.62594986,0,0,0,0,0,6.968818188,0,0,,0,1,1949
1,AUS,1950,50.099998,49.900002,0.62383503,4,0,0,0,0,0.436413752,2.07E-06,0.218332901,0.275484939,31.39817047,0,0,0,0,0,7.609278202,0,0,6.902,0,0,1949
1,AUS,1951,50.200001,47.700001,0.6094256,4,0,0,0,1,0.348114932,8.57315E-05,0.129153955,0.256677746,31.81580925,1,0,0,1,0,9.118933678,0,0,3.332,0,1,1951
1,AUS,1952,50.200001,47.700001,0.6094256,4,0,0,0,0,0.227504355,0.000238507,0.063682752,0.183910922,31.42844009,0,0,0,0,0,10.68959045,0,0,1.316,0,0,1951
1,AUS,1953,50.200001,47.700001,0.6094256,4,0,0,0,0,0.133600515,0.000466971,0.03342237,0.107872813,31.80592918,0,0,0,0,0,11.14706039,0,0,1.316,0,0,1951
1,AUS,1954,47,50.099998,0.60479867,4,0,0,0,0,0.089021206,0.000739538,0.039686646,0.049826016,33.04322815,0,0,0,0,0,11.22329998,0,0,1.316,0,1,1954
1,AUS,1955,47.599998,44.700001,0.61147243,4,0,0,0,0,0.095008143,0.000949909,0.07844184,0.01377348,34.07133102,0,0,0,0,0,11.45203972,0,0,1.316,0,1,1955
1,AUS,1956,47.599998,44.700001,0.61147243,2,0,0,0,0,0.138559645,0.000873459,0.139304346,-0.00425401,34.42303085,1,0,0,1,0,12.16874981,0,0,1.316,0,0,1955
1,AUS,1957,47.599998,44.700001,0.61147243,2,0,0,0,1,0.19147273,0.000133578,0.199339866,-0.010429426,34.3445282,0,0,0,0,0,12.46990967,0,0,1.316,0,0,1955
1,AUS,1958,46.400002,42.900002,0.61407387,3,0,0,0,0,0.203374872,-0.001786098,0.213325405,-0.010245099,35.27732086,0,0,0,0,0,12.63383961,0,0,1.316,0,1,1958
1,AUS,1959,46.400002,42.900002,0.61407387,2,0,0,0,0,0.204161458,-0.005423307,0.215047138,-0.007524649,36.67905045,0,0,0,0,0,12.86639023,0,0,1.316,0,0,1958
1,AUS,1960,46.400002,42.900002,0.61407387,3,0,0,0,1,0.191187896,-0.01103001,0.204159178,-0.004452483,37.38534164,0,0,0,0,0,13.35435963,0,0,1.316,0,0,1958
1,AUS,1961,42,48,0.59950572,3,0,0,0,0,0.129143759,-0.017990437,0.145908093,-0.002009063,38.23952866,1,0,0,1,0,13.68984032,0,0,1.36,0,1,1961
1,AUS,1962,42,48,0.59950572,3,0,0,0,0,0.063032106,-0.023924021,0.083778533,-0.000462454,37.5196991,0,0,0,0,0,13.65172005,0,0,2.2679999,0,0,1961
1,AUS,1963,46,45.5,0.62226838,3,0,0,0,0,0.017192997,-0.02357172,0.037909853,0.000240729,39.42615128,0,0,0,0,0,13.7241497,0,0,6.902,0,1,1963
1,AUS,1964,46,45.5,0.62226838,3,0,0,0,0,0.005881352,-0.007846652,0.015036843,0.000227863,41.01470947,0,0,0,0,0,14.04819012,0,0,6.5,0,0,1963
